Word,DOC_2,DOC_1
freeman,4,0
moore,4,0
smu,1,2
spring,3,3
l,1,0
phd,1,0
email,1,0
fmoorelylesmuedu,2,0
fall,1,0
cs,1,2
keep,1,0
looking,1,0
at,2,0
the,6,3
course,1,1
calendar,1,0
in,1,1
for,1,0
latest,1,1
information,1,1
tth,1,0
pm,1,0
junkins,1,0
syllabus,2,0
contents,1,0
of,4,2
this,2,1
web,1,2
site,2,0
are,1,0
sole,1,0
responsibility,1,0
dr,2,0
and,1,5
do,1,0
not,1,0
necessarily,1,0
represent,1,0
opinions,1,0
or,1,0
policies,1,0
southern,1,0
methodist,1,0
university,1,0
administrator,1,0
is,1,1
who,1,0
may,1,2
be,1,0
contacted,1,0
schedule,0,3
preliminary,0,1
page,0,3
maintained,0,1
as,0,1
content,0,1
activities,0,1
date,0,1
topics,0,1
activity,0,1
jan,0,4
overview,0,1
introduction,0,1
to,0,1
ir,0,1
chpt,0,14
hmwk,0,11
assigned,0,8
reimaginging,0,1
search,0,2
boolean,0,1
retrieval,0,2
terms,0,1
posting,0,1
lists,0,1
dark,0,1
article,0,2
mercator,0,1
feb,0,8
crawling,0,1
due,0,8
scoring,0,2
vector,0,2
space,0,2
model,0,2
project,0,4
figure,0,1
brown,0,1
cow,0,2
files,0,2
little,0,1
lamb,0,1
textfiles,0,1
wildcards,0,1
spelling,0,1
errors,0,1
levenshtein,0,1
disance,0,1
soundex,0,1
online,0,1
indexing,0,1
index,0,1
compression,0,1
letter,0,1
distribution,0,1
variable,0,1
byte,0,1
c,0,1
program,0,1
mar,0,9
complete,0,1
hmwk4,0,1
badfile,0,1
catch,0,1
up,0,1
review,0,1
midterm,0,1
exam,0,2
i,0,1
no,0,2
class,0,2
break,0,1
example,0,1
a,0,1
noindex,0,1
more,0,1
text,0,2
evaluation,0,1
user,0,1
agent,0,1
apr,0,9
relevance,0,1
feedback,0,1
query,0,1
expansion,0,1
classification,0,2
document,0,1
clustering,0,1
link,0,1
analysis,0,1
classics,0,1
google,0,1
pagerank,0,1
reading,0,1
day,0,1
ii,0,1
takehome,0,1
